FPGA idle power [mW]:,3585.9

Program energy [mJ]:,8.76

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,22.5
20000,0.001,77.0
40000,0.002,84.2
60000,0.003,75.5
80000,0.004,43.9
100000,0.005,23.7
120000,0.006,112.9
140000,0.007,117.2
160000,0.008,135.9
180000,0.009,138.7
200000,0.010,137.4
220000,0.011,128.8
240000,0.012,131.6
260000,0.013,138.8
280000,0.014,135.9
300000,0.015,120.1
320000,0.016,125.9
340000,0.017,127.3
360000,0.018,127.9
380000,0.019,124.4
400000,0.020,127.3
420000,0.021,120.1
440000,0.022,127.3
460000,0.023,121.6
480000,0.024,124.4
500000,0.025,125.9
520000,0.026,135.9
540000,0.027,134.1
560000,0.028,133.1
580000,0.029,131.6
600000,0.030,138.8
620000,0.031,135.9
640000,0.032,138.8
660000,0.033,144.6
680000,0.034,133.1
700000,0.035,127.3
720000,0.036,117.0
740000,0.037,128.8
760000,0.038,137.4
780000,0.039,125.9
800000,0.040,135.9
820000,0.041,137.4
840000,0.042,143.1
860000,0.043,140.3
880000,0.044,117.2
900000,0.045,113.9
920000,0.046,121.6
940000,0.047,115.8
960000,0.048,115.8
980000,0.049,118.7
1000000,0.050,120.1
1020000,0.051,121.6
1040000,0.052,121.6
1060000,0.053,114.4
1080000,0.054,113.9
1100000,0.055,110.0
1120000,0.056,91.3
1140000,0.057,102.9
1160000,0.058,107.2
1180000,0.059,101.4
1200000,0.060,95.7
1220000,0.061,104.3
1240000,0.062,108.6
1260000,0.063,95.3
1280000,0.064,112.9
1300000,0.065,118.7
1320000,0.066,115.8
1340000,0.067,120.1
1360000,0.068,114.4
1380000,0.069,115.8
1400000,0.070,115.8
1420000,0.071,114.4
1440000,0.072,107.7
1460000,0.073,108.6
1480000,0.074,104.3
