FPGA idle power [mW]:,3553.2

Program energy [mJ]:,4.18

Cycle (assuming 20 MHz default clock),Time [s],Dynamic power [mW]
0,0.000,7.5
20000,0.001,46.4
40000,0.002,42.0
60000,0.003,32.0
80000,0.004,30.5
100000,0.005,36.3
120000,0.006,62.2
140000,0.007,44.4
160000,0.008,53.6
180000,0.009,86.6
200000,0.010,96.7
220000,0.011,91.0
240000,0.012,88.1
260000,0.013,116.9
280000,0.014,116.9
300000,0.015,59.3
320000,0.016,75.4
340000,0.017,101.0
360000,0.018,101.0
380000,0.019,91.0
400000,0.020,93.8
420000,0.021,85.2
440000,0.022,75.1
460000,0.023,99.6
480000,0.024,89.5
500000,0.025,81.5
520000,0.026,91.0
540000,0.027,82.3
560000,0.028,89.5
580000,0.029,86.6
600000,0.030,79.4
620000,0.031,92.4
640000,0.032,95.3
660000,0.033,83.8
680000,0.034,81.5
700000,0.035,79.4
720000,0.036,101.0
740000,0.037,95.3
760000,0.038,27.7
780000,0.039,19.0
800000,0.040,17.6
820000,0.041,19.0
840000,0.042,13.3
860000,0.043,18.0
880000,0.044,21.9
900000,0.045,21.9
920000,0.046,16.1
940000,0.047,14.7
960000,0.048,24.8
980000,0.049,19.0
1000000,0.050,7.5
1020000,0.051,14.7
1040000,0.052,16.5
1060000,0.053,19.0
1080000,0.054,-1.1
1100000,0.055,16.1
1120000,0.056,17.6
1140000,0.057,11.8
1160000,0.058,17.6
1180000,0.059,14.7
1200000,0.060,13.3
1220000,0.061,18.0
1240000,0.062,13.3
1260000,0.063,14.7
1280000,0.064,14.7
1300000,0.065,13.3
1320000,0.066,16.1
1340000,0.067,13.3
1360000,0.068,21.9
1380000,0.069,16.1
1400000,0.070,14.9
1420000,0.071,19.0
1440000,0.072,23.3
1460000,0.073,13.3
1480000,0.074,7.5
1500000,0.075,14.7
1520000,0.076,20.5
1540000,0.077,14.7
1560000,0.078,19.0
1580000,0.079,24.2
1600000,0.080,17.6
1620000,0.081,9.0
1640000,0.082,17.6
1660000,0.083,14.7
1680000,0.084,21.9
1700000,0.085,9.0
1720000,0.086,11.8
1740000,0.087,11.8
1760000,0.088,16.5
1780000,0.089,14.7
1800000,0.090,19.0
1820000,0.091,13.3
1840000,0.092,20.5
1860000,0.093,11.8
1880000,0.094,6.1
1900000,0.095,10.4
1920000,0.096,19.0
1940000,0.097,21.1
1960000,0.098,20.5
1980000,0.099,19.0
2000000,0.100,21.9
2020000,0.101,23.3
2040000,0.102,14.7
2060000,0.103,17.6
2080000,0.104,14.7
2100000,0.105,14.7
2120000,0.106,18.0
2140000,0.107,16.1
2160000,0.108,10.4
2180000,0.109,11.8
2200000,0.110,19.0
2220000,0.111,10.4
2240000,0.112,14.7
2260000,0.113,9.0
